timestamp_iso,timestamp_unix,hour_of_day,day_of_week,soil_now,moisture_mean,moisture_delta,moisture_slope,soil_x_slope,dry_duration,temp_now,humidity_now,light_now,combined_stress,risk,anomaly,recovering,sequence,step_in_sequence,minutes_until_water
2026-01-01 15:20:00,1767280800,15,3,81.847,81.847,-1.375,0.0,0.0,0.0,23.623,68.061,667.064,0.194,0,0,0,9,0,12960.0
2026-01-01 16:10:00,1767283800,16,3,62.331,62.331,-1.104,0.0,0.0,0.0,22.182,53.087,570.155,0.177,0,0,0,31,0,9900.0
2026-01-01 18:20:00,1767291600,18,3,81.635,81.741,-0.213,-0.213,-17.362,0.0,15.288,78.373,119.902,0.0,0,0,0,9,1,12780.0
2026-01-01 19:10:00,1767294600,19,3,62.049,62.19,-0.282,-0.282,-17.484,0.0,18.763,66.966,187.917,0.0,0,0,0,31,1,9720.0
2026-01-01 21:20:00,1767302400,21,3,81.116,81.533,-0.518,-0.366,-29.651,0.0,18.678,66.684,119.068,0.0,0,0,0,9,2,12600.0
2026-01-01 22:10:00,1767305400,22,3,61.859,62.08,-0.191,-0.236,-14.614,0.0,17.045,67.837,116.004,0.0,0,0,0,31,2,9540.0
2026-01-02 00:20:00,1767313200,0,4,80.769,81.342,-0.347,-0.359,-29.027,0.0,20.614,79.384,114.031,0.01,0,0,0,9,3,12420.0
2026-01-02 01:10:00,1767316200,1,4,61.708,61.987,-0.151,-0.208,-12.823,0.0,16.92,69.017,233.845,0.01,0,0,0,31,3,9360.0
2026-01-02 03:20:00,1767324000,3,4,80.152,80.918,-0.617,-0.494,-39.607,0.0,18.043,74.368,59.2,0.0,0,0,0,9,4,12240.0
2026-01-02 04:10:00,1767327000,4,4,60.597,61.553,-1.111,-0.484,-29.332,0.0,19.175,69.564,20.0,0.0,0,0,0,31,4,9180.0
2026-01-02 06:20:00,1767334800,6,4,80.045,80.521,-0.108,-0.357,-28.595,0.0,17.237,75.177,20.0,0.0,0,0,0,9,5,12060.0
2026-01-02 07:10:00,1767337800,7,4,60.311,61.119,-0.286,-0.516,-31.112,0.0,21.447,72.382,260.252,0.041,0,0,0,31,5,9000.0
2026-01-02 09:20:00,1767345600,9,4,79.564,80.132,-0.481,-0.402,-31.978,0.0,24.298,59.355,727.984,0.226,0,0,0,9,6,11880.0
2026-01-02 10:10:00,1767348600,10,4,59.691,60.577,-0.62,-0.672,-40.124,0.0,25.384,55.493,817.992,0.289,0,0,0,31,6,8820.0
2026-01-02 12:20:00,1767356400,12,4,77.479,79.31,-2.084,-0.891,-69.041,0.0,31.818,50.481,985.711,0.445,0,0,0,9,7,11700.0
2026-01-02 13:10:00,1767359400,13,4,58.939,59.885,-0.752,-0.553,-32.571,0.0,25.835,56.292,890.686,0.313,0,0,0,31,7,8640.0
2026-01-02 15:20:00,1767367200,15,4,76.439,78.381,-1.04,-1.202,-91.879,0.0,20.655,58.235,663.226,0.152,0,0,0,9,8,11520.0
2026-01-02 16:10:00,1767370200,16,4,58.225,59.292,-0.714,-0.695,-40.481,0.0,22.164,66.781,457.487,0.11,0,0,0,31,8,8460.0
2026-01-02 18:20:00,1767378000,18,4,76.266,77.437,-0.173,-1.099,-83.84,0.0,17.799,74.95,104.669,0.0,0,0,0,9,9,11340.0
2026-01-02 19:10:00,1767381000,19,4,57.639,58.624,-0.586,-0.684,-39.421,0.0,16.258,82.281,167.79,0.0,0,0,0,31,9,8280.0
2026-01-02 19:50:00,1767383400,19,4,78.825,78.825,-0.022,0.0,0.0,0.0,16.352,71.798,49.454,0.0,0,0,0,56,0,12600.0
2026-01-02 21:20:00,1767388800,21,4,75.506,76.422,-0.759,-0.658,-49.653,0.0,14.549,66.547,45.488,0.0,0,0,0,9,10,11160.0
2026-01-02 22:10:00,1767391800,22,4,57.641,58.111,0.002,-0.433,-24.945,0.0,19.543,70.686,72.384,0.0,0,0,0,31,10,8100.0
2026-01-02 22:50:00,1767394200,22,4,78.715,78.77,-0.11,-0.11,-8.64,0.0,18.15,71.523,98.761,0.0,0,0,0,56,1,12420.0
2026-01-03 00:20:00,1767399600,0,5,75.112,75.831,-0.394,-0.442,-33.208,0.0,18.773,65.873,20.0,0.0,0,0,0,9,11,10980.0
2026-01-03 01:10:00,1767402600,1,5,56.892,57.6,-0.749,-0.444,-25.282,0.0,23.427,72.147,39.894,0.057,0,0,0,31,11,7920.0
2026-01-03 01:50:00,1767405000,1,5,78.526,78.688,-0.189,-0.15,-11.747,0.0,22.978,73.22,20.0,0.05,0,0,0,56,2,12240.0
2026-01-03 03:20:00,1767410400,3,5,74.402,75.322,-0.71,-0.621,-46.219,0.0,19.825,64.295,108.166,0.0,0,0,0,9,12,10800.0
