fluorescence_intensity,colorimetric_index,spr_signal_strength,Ambient_Temperature,chlorophyll_content,Soil_Moisture,light_absorption_ratio,volatile_organic_compounds,Plant_Health_Status
54.96714153011233,0.6374056569847572,158.9818885061745,24.888605104081435,40.08783654898148,30.698268447826756,0.5810501979623387,22.84259492736277,1
48.61735698828815,0.7227668992473292,124.89359161473573,26.61041155383493,37.623166830390154,30.366683723890684,0.7335024835907762,11.059761883834959,1
56.47688538100692,0.47903589813087943,72.97851267583957,24.94453998025699,40.76609070451659,34.84384947840677,0.7492699855725025,18.28464533171044,3
65.23029856408026,0.7672572386837704,73.5508408651286,20.93492813869935,34.88236442057696,34.835890612194746,0.6207077179807076,22.169164193299224,3
47.658466252766644,0.6419019009366045,109.63732123436984,29.116399578388528,18.952504942809853,32.469886911028226,0.7088242091831476,8.1135225536395,3
47.6586304305082,0.5294988144241591,110.94529594755934,26.12880761555877,60.42177910534731,28.18826221226949,0.7225613008068049,13.283324120737754,3
65.79212815507391,0.5944230922342294,110.9776767063473,25.088066259668288,41.553249991994015,33.709111471950635,0.696344634899553,20.71103696442779,1
57.67434729152909,0.6558326912521723,94.90088412892604,20.12316986360875,43.981472651225374,29.54015766898477,0.6604614540457323,20.786222738655127,3
45.30525614065048,0.6076005391412411,97.49091479994199,31.517539659673794,39.42092250123091,24.590428156434335,0.7507968611781778,14.142521998058804,3
55.42560043585965,0.6538755992446369,106.55759048318714,28.32351372666555,32.64883199275412,27.983561040445306,0.6798310127015659,11.326644531615703,3
45.365823071875376,0.5079326406920633,101.71786012586661,22.23539581316349,38.140755190512294,30.422634918921624,0.6257406918650034,19.779679111653813,3
45.34270246429743,0.6169360824036078,55.6139925450493,30.009124268409685,24.006052378056886,34.551078918323725,0.5975262757165158,20.917745512908024,3
52.41962271566034,0.45862855030950195,95.40400738849613,22.512145808073964,62.77086498053305,29.082359139214233,0.7630424759999654,9.176683257438025,3
30.86719755342202,0.5888773938651299,82.97187131479373,21.089982537444815,27.65488001577604,23.95400644380197,0.7308331988235559,8.980431755168098,3
32.75082167486967,0.509609235853521,103.50422837817024,21.201484412598564,29.680337161528207,30.283708416484096,0.7043986773564584,16.126283409918,3
44.37712470759027,0.5264470057410233,159.70518005206821,16.144657234559546,35.597407956135996,30.567280200282763,0.6779862681574598,18.146803167144462,1
39.87168879665576,0.7236093175210437,107.34963330948608,27.35771190209103,52.88075724852378,30.929188144513766,0.6735500792898436,13.504654573849725,3
